,dataSetName,archiveType,geo_meanLat,geo_meanLon,geo_meanElev,paleoData_variableName,paleoData_units,paleoData_proxy,paleoData_proxyGeneral,time_variableName,compilationName,TSID
38,CO00COKY,Coral,-3.2556,40.1433,-6.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_001
39,CO03CHBA,Coral,-8.2573,115.5757,-3.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_006
40,CO12GOVA,Coral,-15.94,166.04,-8.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_154
41,CO08ABSU,Coral,-0.13,98.52,-6.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_010
42,CO09NAKY,Coral,-3.2,40.1,-4.4,d18O,permil,d18O,,year,iso2k,Ocean2kHR_012
43,CO97CHSY,Coral,-4.6062,55.4244,-7.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_011
44,CO96QUVA,Coral,-15.0,167.0,-1.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_133
45,CO03CHBU,Coral,-1.5,124.833,-3.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_171
46,CO08HEVE,Coral,11.77,-66.75,-2.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_096
47,CO09FEOG,Coral,27.1059,142.1941,-5.6,d18O,permil,d18O,,year,iso2k,Ocean2kHR_163
48,CO05ASGU,Coral,13.598,144.836,-7.8,d18O,permil,d18O,,year,iso2k,Ocean2kHR_166
49,CO93COTW,Coral,1.4167,173.0333,-3.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_178
50,CO04PFRE,Coral,-21.0333,55.25,-12.3,d18O,permil,d18O,,year,iso2k,Ocean2kHR_013
51,CO94DUUR,Coral,-0.4084,-91.234,-1.5,d18O,permil,d18O,,year,iso2k,Ocean2kHR_173
52,LS14LASO,LakeSediment,41.7939,75.1961,3016.0,d2H,permil,dD,,year,iso2k,LPD343ffe05
53,CO04LIFI,Coral,-16.8167,179.2333,-10.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_157
54,SS05ROES,Sclerosponge,23.67,-75.75,-136.0,d18O,permil,d18O,,year,iso2k,Ocean2kHR_112
55,NAm-MtLemon.Briffa.2002,tree,32.5,-110.8,2700.0,MXD,,MXD,,year,Pages2kTemperature,NAm_568
56,Arc-Arjeplog.Bjorklund.2014,tree,66.3,18.2,800.0,density,,delta Density,,year,Pages2kTemperature,Arc_060
57,Asi-CHIN019.Li.2010,tree,29.15,99.93,2150.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_041
58,NAm-Landslide.Luckman.2006,tree,60.2,-138.5,800.0,trsgi,,TRW,,year,Pages2kTemperature,NAm_1876
59,NAm-SmithersSkiArea.Schweingruber.1996,tree,54.9,-127.3,1200.0,MXD,,MXD,,year,Pages2kTemperature,NAm_1120
60,NAm-SmithersSkiArea.Schweingruber.1996,tree,54.9,-127.3,1200.0,trsgi,,TRW,,year,Pages2kTemperature,NAm_1108
61,Asi-GANGCD.PAGES2k.2013,tree,30.98,78.93,100.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_102
62,Ocn-Mayotte.Zinke.2008,coral,-12.65,45.1,-3.0,d18O,permil,d18O,,year,Pages2kTemperature,Ocean2kHR_005
63,Ocn-Mayotte.Zinke.2008,coral,-12.65,45.1,-3.0,d18O,permil,d18O,,year,Pages2kTemperature,Ocean2kHR_002
64,Ocn-Mayotte.Zinke.2008,coral,-12.65,45.1,-3.0,Sr_Ca,mmol/mol,Sr/Ca,,year,Pages2kTemperature,Ocean2kHR_003
66,SAm-LagunaChepical.deJong.2013,lake sediment,-32.2667,-70.5,3050.0,temperature,degC,reflectance,,year,Pages2kTemperature,SAm_025
67,NAm-CoppermineRiver.Jacoby.1989,tree,67.2,-115.9,213.0,trsgi,,TRW,,year,Pages2kTemperature,NAm_1396
68,NAm-KobukNoatak.King.2003,tree,67.1,-159.6,100.0,trsgi,,TRW,,year,Pages2kTemperature,NAm_220
69,SAm-CentralAndes9.Mundo.2014,tree,-39.33,-71.25,1100.0,trsgi,,TRW,,year,Pages2kTemperature,SAm_020
70,Asi-JAPA016.Yasue.2013,tree,35.73,138.22,1950.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_114
71,Asi-CHIN049.Brauning.2013,tree,31.23,96.48,3500.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_219
72,NAm-MeadowMountain.Wilson.2005,tree,50.2,-117.1,2100.0,trsgi,,TRW,,year,Pages2kTemperature,NAm_1576
73,NAm-MeadowMountain.Wilson.2005,tree,50.2,-117.1,2100.0,MXD,,MXD,,year,Pages2kTemperature,NAm_1588
74,NAm-wa069.Peterson.1994,tree,48.7,-120.7,1925.0,trsgi,,TRW,,year,Pages2kTemperature,NAm_3388
75,NAm-PowderRiverPass.Briffa.1996,tree,44.2,-107.1,2850.0,MXD,,MXD,,year,Pages2kTemperature,NAm_3604
76,Asi-YKCOM.Yasue.2013,tree,30.37,130.53,4060.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_117
78,Ocn-DryTortugasA.Lund.2006,marine sediment,24.33,-83.26,-547.0,temperature,degC,foram Mg/Ca,,year,Pages2kTemperature,O2kLR_066
79,Asi-LowerYangtzeRiver.Zhang.1980,documents,32.1,118.8,2200.0,temperature,index,historic,,year,Pages2kTemperature,Asia_324
